room,price,district,floor,square
2-к квартира,2585000.0,р-н Мотовилихинский,2/5 эт.,43.7
2-к квартира,3900000.0,р-н Индустриальный,13/16 эт.,54.7
4-к квартира,6100000.0,р-н Мотовилихинский,14/18 эт.,100.0
2-к квартира,2650000.0,р-н Свердловский,4/5 эт.,45.0
3-к квартира,6500000.0,р-н Дзержинский,25/26 эт.,110.0
2-к квартира,2650000.0,р-н Орджоникидзевский,3/25 эт.,54.7
2-к квартира,1999999.0,р-н Орджоникидзевский,1/5 эт.,47.0
1-к квартира,2600000.0,р-н Дзержинский,3/12 эт.,33.0
1-к квартира,2200000.0,р-н Мотовилихинский,10/10 эт.,34.3
4-к квартира,3800000.0,р-н Мотовилихинский,2/9 эт.,86.0
3-к квартира,2800000.0,р-н Индустриальный,1/9 эт.,53.0
2-к квартира,2190000.0,р-н Индустриальный,3/5 эт.,43.1
2-к квартира,4600000.0,р-н Индустриальный,12/16 эт.,54.2
3-к квартира,3100000.0,р-н Свердловский,1/9 эт.,60.3
3-к квартира,799000.0,р-н Кировский,2/4 эт.,57.0
Квартира-студия,1400000.0,р-н Мотовилихинский,7/9 эт.,20.1
2-к квартира,7250000.0,р-н Свердловский,12/17 эт.,66.5
1-к квартира,2180000.0,р-н Свердловский,5/5 эт.,33.0
5-к квартира,6000000.0,р-н Кировский,2/10 эт.,170.0
Своб. планировка,5500000.0,р-н Свердловский,9/20 эт.,45.0
2-к квартира,4700000.0,р-н Мотовилихинский,12/16 эт.,59.0
1-к квартира,2450000.0,р-н Дзержинский,4/5 эт.,32.0
1-к квартира,3100000.0,р-н Мотовилихинский,11/11 эт.,33.9
2-к квартира,2700000.0,р-н Орджоникидзевский,4/10 эт.,52.1
1-к квартира,2300000.0,р-н Мотовилихинский,6/10 эт.,38.0
1-к квартира,1660000.0,р-н Кировский,2/5 эт.,31.2
2-к квартира,5200000.0,р-н Свердловский,12/21 эт.,60.5
2-к квартира,1800000.0,р-н Кировский,2/5 эт.,37.6
3-к квартира,2700000.0,р-н Индустриальный,3/9 эт.,53.0
2-к квартира,2650000.0,р-н Дзержинский,2/5 эт.,47.0
2-к квартира,2490000.0,р-н Индустриальный,2/5 эт.,45.9
3-к квартира,7100000.0,р-н Индустриальный,4/14 эт.,90.0
2-к квартира,3000000.0,р-н Мотовилихинский,3/6 эт.,57.0
2-к квартира,2500000.0,р-н Кировский,5/5 эт.,45.5
1-к квартира,1300000.0,р-н Мотовилихинский,2/3 эт.,33.2
1-к квартира,1780000.0,р-н Мотовилихинский,1/5 эт.,29.4
3-к квартира,4800000.0,р-н Кировский,7/10 эт.,80.0
3-к квартира,3100000.0,р-н Кировский,5/5 эт.,63.3
1-к квартира,2350000.0,р-н Орджоникидзевский,1/10 эт.,41.0
3-к квартира,3150000.0,р-н Свердловский,4/14 эт.,55.4
2-к квартира,2200000.0,р-н Кировский,3/5 эт.,46.0
1-к квартира,1250000.0,р-н Кировский,2/2 эт.,40.0
3-к квартира,7200000.0,р-н Свердловский,12/17 эт.,87.1
2-к квартира,8000000.0,р-н Свердловский,8/25 эт.,80.0
3-к квартира,3440000.0,р-н Дзержинский,2/9 эт.,66.2
1-к квартира,3120390.0,р-н Мотовилихинский,4/17 эт.,37.8
3-к квартира,5500000.0,р-н Мотовилихинский,2/6 эт.,60.0
3-к квартира,3540060.0,р-н Мотовилихинский,5/9 эт.,63.9
1-к квартира,2350000.0,р-н Мотовилихинский,7/9 эт.,32.4
Квартира-студия,2200000.0,р-н Кировский,14/17 эт.,31.2
3-к квартира,4800000.0,р-н Ленинский,4/5 эт.,70.0
3-к квартира,6500000.0,р-н Дзержинский,25/26 эт.,110.0
Квартира-студия,1500000.0,р-н Кировский,10/25 эт.,22.0
3-к квартира,4800000.0,р-н Дзержинский,1/9 эт.,77.4
1-к квартира,2980000.0,р-н Дзержинский,12/18 эт.,35.5
2-к квартира,2600000.0,р-н Свердловский,5/5 эт.,44.0
2-к квартира,4100000.0,р-н Мотовилихинский,5/10 эт.,52.3
3-к квартира,5380000.0,р-н Индустриальный,4/9 эт.,65.7
